sentence_id,class_index,class_name,requested_k,actual_k,original_score,top_k_score,top_k_score_drop,random_mean_score,random_mean_score_drop,random_std_score_drop,top_minus_random_drop,selected_words,top_k_masked_text
S1,0,NEG,1,1,0.9213079810142517,0.888032078742981,0.03327590227127075,0.9264654695987702,-0.005157488584518433,0.005310436788844093,0.03843339085578919,film,The is a beautiful and moving portrait of human resilience.
S1,0,NEG,2,2,0.9213079810142517,0.8718864917755127,0.049421489238739014,0.9195007920265198,0.0018071889877319335,0.01718830844205947,0.04761430025100708,film | is,The a beautiful and moving portrait of human resilience.
S1,0,NEG,3,3,0.9213079810142517,0.8628953695297241,0.05841261148452759,0.9229124665260315,-0.0016044855117797851,0.023463920283741113,0.060017096996307376,film | is | and,The a beautiful moving portrait of human resilience.
S1,1,POS,1,1,0.9338179230690002,0.8857035040855408,0.04811441898345947,0.928917795419693,0.004900127649307251,0.015219162421154332,0.04321429133415222,film,The is a beautiful and moving portrait of human resilience.
S1,1,POS,2,2,0.9338179230690002,0.8720981478691101,0.06171977519989014,0.9209011673927308,0.012916755676269532,0.03152429066204297,0.04880301952362061,film | is,The a beautiful and moving portrait of human resilience.
S1,1,POS,3,3,0.9338179230690002,0.861078143119812,0.07273977994918823,0.9381512582302094,-0.004333335161209107,0.016354681252604458,0.07707311511039734,film | is | and,The a beautiful moving portrait of human resilience.
S2,0,NEG,1,1,0.9794285297393799,0.9109069108963013,0.06852161884307861,0.9621244430541992,0.017304086685180665,0.028049439437244732,0.05121753215789795,movie,This is an absolute waste of time and money.
S2,0,NEG,2,2,0.9794285297393799,0.9045159816741943,0.07491254806518555,0.9636168003082275,0.015811729431152343,0.02227685476676708,0.0591008186340332,movie | This,is an absolute waste of time and money.
S2,0,NEG,3,3,0.9794285297393799,0.9082843065261841,0.0711442232131958,0.9499724686145783,0.029456061124801636,0.024639206761981336,0.04168816208839417,movie | This | and,is an absolute waste of time money.
S2,1,POS,1,1,0.9771227836608887,0.8940839767456055,0.0830388069152832,0.9687103211879731,0.00841246247291565,0.024951500459892806,0.07462634444236756,movie,This is an absolute waste of time and money.
S2,1,POS,2,2,0.9771227836608887,0.8885712623596191,0.08855152130126953,0.955522096157074,0.0216006875038147,0.03499406277747286,0.06695083379745484,movie | This,is an absolute waste of time and money.
S2,1,POS,3,3,0.9771227836608887,0.8916505575180054,0.0854722261428833,0.9455646455287934,0.031558138132095334,0.041334344606648026,0.05391408801078797,movie | This | and,is an absolute waste of time money.
